id,domain,risk_event,fail_closed_bounded_non_self_escalating_policy,implementation_detail,master_plan_refs,related_doc_refs
1,Perception,"Freshness failure, missing inputs, modality drift","Perception-safe fallback with deterministic break classification","Fallback to safe mode; emit drift telemetry; require verification before autonomous re-entry","99;104-110;10.9.12","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §8; BIAS_AND_DIGNITY_GUARDRAILS.md §1"
2,Ingest,"Trigger loss/duplicates/federated corruption","Channel quarantine + dedupe/replay","Quarantine corrupt ingest lanes; replay with dedupe keys; block promotion from tainted stream","100;10.9.10;10.9.12","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §7"
3,Actions,"Invalid/policy-unsafe outputs; rollout regressions","Immediate rollback/circuit-break","Bounded retry only; rollback gates require confidence and corroboration","101;10.9.3;10.9.4","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §8"
4,Reasoning,"Planner contradiction/model instability/memory inconsistency","Recovery state machine","Force incident lifecycle open->scheduled->recovering->resolved with provenance","102;109;10.9.12","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
5,Orchestration,"Failed workflow steps/dead states","Auto-remediation scheduling","No dead terminal states; unresolved paths escalate by dwell policy","103;1.1E.15;6.2.18","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §10"
6,State Consistency,"Non-atomic evolution cascade creates incoherent present state","Atomic state publication","Run full cascade and publish one committed snapshot version only","7.1.2;LeCun alignment note","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §7"
7,Runtime,"World-model OOM/crash","Tier fallback containment","Downgrade tier on failure; preserve service continuity and log downgrade","7.5.4","BIAS_AND_DIGNITY_GUARDRAILS.md §6"
8,Schema Lifecycle,"Model/episodic schema mismatch","Compatibility gate before load","Migrate forward for newer model; pad backward on rollback","7.7.3","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
9,Rollout,"Bad global model promotion","Canary + staged rollout + global rollback","5% canary with outcome/happiness checks; rollback if degraded","7.7.4;7.7.5","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §6.3"
10,User Safety,"Per-user degradation after update","Per-user rollback","Rollback specific user to previous model while global candidate remains under review","7.7.6","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
11,Behavior Drift,"Past-behavior priors become stale","Drift detector + exploration reset","EMA residual trigger; reset affected confidence; re-enter exploration","5.1.9;6.2.11;6.2.14","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §8"
12,External Data,"Third-party/source drift","Internal-only fallback route","Quarantine external features until revalidated; route selection logged","5.1.14;6.1.17","BIAS_AND_DIGNITY_GUARDRAILS.md §2"
13,Outcome Contradiction,"Predicted positive, observed negative","Asymmetric loss + confidence decay","Negative outcomes weighted more; confidence decays; failures logged for retrain","1.4.10;1.4.11;4.1.7","BIAS_AND_DIGNITY_GUARDRAILS.md §11"
14,Conviction Quality,"Transient spikes masquerade as truth","Delayed validation windows","Require 7/30/90-day checkpoints before final conviction increases","1.4.14;5.1.15;5.2.15","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §8"
15,Meta-Learning,"Local gain violates global truth","Anti-drift promotion gate","Macro-vs-micro alignment required; quarantine contradictory updates","5.2.18;10.9.14","BIAS_AND_DIGNITY_GUARDRAILS.md §6"
16,Dream Lane,"Simulator exploit mismatch","Dream/reality mismatch quarantine","Decay dream influence and quarantine candidate when holdout/replay fails","5.2.23;7.9.44;10.9.21","BIAS_AND_DIGNITY_GUARDRAILS.md §1"
17,Dream Integrity,"OOD/leakage/spec-gaming in dream training","Fail promotion on integrity check failure","Block promotion when OOD support/leakage probes fail","5.2.24;7.9.31;10.9.11","BIAS_AND_DIGNITY_GUARDRAILS.md §6"
