type,id,phase,name_or_scope,wave,status,owner_r,accountable_a,consulted_c,informed_i,dependencies,prd_ids,master_plan_refs,architecture_spot,change_type,reopens_milestone,risk_probability,risk_impact,risk_score,priority,target_window,exit_criteria,evidence,notes,urk_runtime_type,urk_prong,privacy_mode_impact,impact_tier_max
phase,P1,1,Outcome Data & Episodic Memory Infrastructure,,Ready,AP;MLE,AP,QA;OBS,GOV,none,PRD-010;PRD-011,,lib/core/ai,,none,3,4,12,High,,Data integrity + schema/backfill validation green,,,shared,model_core,multi_mode,L3
phase,P2,2,Privacy Compliance & Legal Infrastructure,,Ready,SEC,GOV,AP;REL;QA,ARCH,none,PRD-010;PRD-011,,lib/core/services/security,,none,4,5,20,Critical,,Security controls + compliance tests + key-rotation drill pass,,,shared,governance_core,multi_mode,L4
phase,P3,3,World Model State & Action Encoders + List Quantum Entity,,Backlog,AP;MLE,AP,QA;REL,GOV,none,PRD-010;PRD-011,,lib/core/models,,none,3,4,12,High,,Feature freshness + consistency checks pass,,,shared,model_core,multi_mode,L3
phase,P4,4,Energy Function & Formula Replacement,,Backlog,MLE,AP,QA;OBS;REL,GOV,none,PRD-010;PRD-011,,lib/core/ml,,none,4,5,20,Critical,,Asymmetric-loss regression and safety guardrails pass,,,shared,model_core,multi_mode,L4
phase,P5,5,Transition Predictor & On-Device Training,,Backlog,MLE,AP,QA;OBS,GOV,none,PRD-010;PRD-011,,lib/core/ml,,none,4,5,20,Critical,,Drift/error bounds + uncertainty calibration pass,,,shared,model_core,multi_mode,L4
phase,P6,6,MPC Planner & Autonomous Agent,,Backlog,AP;MLE,AP,REL;QA;OBS,GOV,none,PRD-010;PRD-011,,lib/core/ai,,none,4,5,20,Critical,,Guardrail constraints + planner rollback drills pass,,,shared,model_core,multi_mode,L4
phase,P7,7,Orchestrator Restructuring & System Integration,,Ready,AP;MOB,REL,QA;OBS;RE,GOV,none,PRD-010;PRD-011,,lib/core/controllers,,none,5,5,25,Critical,,Trigger reliability + orchestration persistence gates pass,,,shared,runtime_core,multi_mode,L4
phase,P8,8,Ecosystem Intelligence AI2AI World Model,,Backlog,FED;LOC,AP,SEC;QA;OBS,GOV,none,PRD-010;PRD-011,,lib/core/ai2ai,,none,4,5,20,Critical,,Federated cohort no-regression + advisory quarantine pass,,,shared,runtime_core,multi_mode,L4
phase,P9,9,Business Operations & Monetization,,Backlog,Business Platform;AP,GOV,SEC;QA,ARCH,none,PRD-010;PRD-011,,lib/core/services/business,,none,3,4,12,High,,Data-sharing consent + revenue attribution integrity pass,,,business_ops_runtime,runtime_core,federated_cloud,L3
phase,P10,10,Feature Completion Codebase Reorganization & Polish,,Ready,AP;REL,GOV,QA;RE,ARCH,none,PRD-010;PRD-011,,lib/_root,,none,4,4,16,High,,Placeholder elimination + reorg import/CI stability pass,,,shared,cross_prong,multi_mode,L3
