file,bucket,domain,disposition,phase_refs,action,confidence,rationale,dependency_graph
scripts/EXECUTE_SPOTS_DEVELOPMENT.sh,scripts/EXECUTE_SPOTS_DEVELOPMENT.sh,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/EXECUTE_SPOTS_DEVELOPMENT.sh"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/README_ADMIN_BACKEND_TEST.md,scripts/README_ADMIN_BACKEND_TEST.md,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/README_ADMIN_BACKEND_TEST.md"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/README_DESIGN_TOKEN_FIX.md,scripts/README_DESIGN_TOKEN_FIX.md,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/README_DESIGN_TOKEN_FIX.md"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/README_INTEGRATION_TESTING.md,scripts/README_INTEGRATION_TESTING.md,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/README_INTEGRATION_TESTING.md"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/README_TEST_FIX_AUTOMATION.md,scripts/README_TEST_FIX_AUTOMATION.md,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/README_TEST_FIX_AUTOMATION.md"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/add_admin_credential.dart,scripts/add_admin_credential.dart,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/add_admin_credential.dart"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/add_business_credential.dart,scripts/add_business_credential.dart,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/add_business_credential.dart"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/ai_list_generator.sh,scripts/ai_list_generator.sh,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/ai_list_generator.sh"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/ai_list_optimizer.sh,scripts/ai_list_optimizer.sh,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/ai_list_optimizer.sh"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
scripts/analyze_test_coverage.sh,scripts/analyze_test_coverage.sh,tooling-ops,keep_review,"10.2,methodology",keep+review,medium,Scripts aid migration/validation; review stale one-offs before long-term retention.,"{""change_class"":""keep_review"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for tooling-ops"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:tooling-ops"",""node_id"":""file:scripts/analyze_test_coverage.sh"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""10.2"",""methodology""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:scripts/_root""}"
