safeguard_id,safeguard_name,core_question,addressed_risk,operational_mechanism,primary_phase_anchor,proposed_master_plan_task_id,master_plan_insertion_point,philosophy_placement,guardrail_placement,self_healing_matrix_placement,telemetry_to_add,acceptance_criteria,priority,owner_lane,depends_on
TGTBT-01,Too-Good-To-Be-True explicit feedback signal,Did the user/entity reject because outcome seemed implausibly good?,Silent trust collapse despite high model confidence,Add explicit feedback class `too_good_to_be_true` separate from `unhelpful`; store tuple with confidence uncertainty and delayed outcomes,1.4 Feedback Collection UX,1.4.22,Add row after 1.4.21 in section 1.4,Add bullet under Product Behavior Rules section 8 for skepticism as valid signal,Extend section 12 Cognitive Surrender with skepticism-without-penalty clause,Add new canonical row 33: high-upside skepticism non-adoption,`tgtbt_rate` `tgtbt_by_domain` `tgtbt_vs_confidence` `7/30/90d_outcome_after_tgtbt`,Feedback payload schema includes TGTBT enum and ConvictionLedger linkage; dashboard live for top domains,P0,Recommender+Trust UX,1.4.13;1.4.14;6.2.24
TGTBT-02,Plausibility translation contract for conversational SLM,Can a human inspect why claim is believable?,Opaque language interpreted as hype,For high-impact claims require rendering blocks: `claim` `why_now` `assumptions` `what_disproves` `safe_test_step`,2.1 Transparency + 6.2 Planner UX,2.1.8D,Add row near 2.1.8 What My AI Knows and reference from high-impact recommendation surfaces,Add under section 8.1 Tri-System Agency Boundary as required human-readable evidence frame,Extend language guidance with bounded-claim wording requirement,N/A,`plausibility_panel_open_rate` `assumption_challenge_rate` `pilot_step_clickthrough`,High-impact recommendation UI cannot render without all 5 fields; missing fields fail closed,P0,Conversation/UX+Policy,6.2.24;1.1E.10;7.9.7
TGTBT-03,Trust-preserving pilot mode,How do we act when upside is high but trust is low?,User/business abandons potentially valid path due to commitment fear,Auto-route low adoption-confidence outputs to reversible low-commitment pilot with checkpoint and fallback path,6.2 Guardrails,6.2.28,Add row after 6.2.27,Add to section 8 bullet: AVRAI shows possibilities with reversible entry paths,Add recourse language: skepticism should open pilot path not penalization,Add canonical row 34: high-confidence low-adoption friction,`pilot_mode_activation_rate` `pilot_to_full_conversion` `pilot_regret_rate`,Planner route table includes `pilot_mode`; high-impact lanes with low adoption confidence cannot one-click execute,P0,Planner+Product,6.2.24;6.1.18;1.4.21
TGTBT-04,Self-healing trigger for skepticism mismatch,When model says high positive but humans repeatedly refuse, is translation/calibration broken?,Undetected trust miscalibration loop,Create failure signature: high predicted upside + repeated TGTBT + non-adoption; trigger translation recalibration and confidence dampening,10.9J Self-Healing,10.9.22,Add row in 10.9 table and milestone mapping; add row in 10.9J matrix,Add pointer in section 10 Success Condition about trust calibration,Extend section 10 Recourse and Repair with skepticism-repair flow,Add canonical row 33: conviction-believability divergence,`skepticism_mismatch_alerts` `time_to_repair` `recurrence_30d`,Runbook exists with dual-signal criteria and rollback policy for persuasion-heavy templates,P0,Reliability+Observability,10.9.3;10.9.9;7.7A.9
TGTBT-05,Human skepticism research lane,Which claims are rejected by humans even when accurate?,No evidence on belief formation and adoption barriers,Quarterly mixed-method study by cohort/domain: skepticism triggers comprehension gaps and trust-recovery outcomes,7.9 Autonomous Research,7.9.51,Add row after 7.9.50,Add statement in section 2 Purpose on meaningful opportunity requiring believable guidance,Add clause in section 12 requiring intervention efficacy on skepticism cohorts,N/A,`skepticism_cohort_report` `belief_to_action_lag` `trust_recovery_lift`,Quarterly report shipped with recommended threshold updates and no dignity regressions,P1,Research+Policy,7.9.47;7.9.50;1.4.22
TGTBT-06,Claim class taxonomy (incremental/step-change/breakthrough),How much proof should each upside class require?,Breakthrough claims shipped with weak evidence,Tag each high-impact recommendation with claim class and tied evidence floor,6.1 Planner + 7.7 Governance,6.1.22,Add row after 6.1.18 and reference in promotion checks 7.7A,Add to section 8.1: confidence is tiered by claim class,Add wording in output boundaries against unqualified breakthrough claims,Add matrix note under row 14 conviction quality to include claim class,`claim_class_distribution` `breakthrough_claim_error_rate`,No breakthrough claim can execute without elevated evidence/validation fields present,P0,Planner+Governance,1.4.14;7.7A.9;7.9.16
TGTBT-07,Extraordinary-claim evidence multiplier,Do extraordinary upside claims face stronger proof requirements?,Overclaim risk and credibility loss,Apply dynamic multiplier to minimum sample size replication and cross-source agreement for high-upside deltas,7.7A Search Governance,7.7A.12,Add row after 7.7A.9,Reference in section 8 product behavior not to hide tradeoffs,Add in section 6 non-negotiable controls as calibration-by-claim-tier,N/A,`evidence_multiplier_trigger_count` `promotion_block_rate_due_to_multiplier`,Promotion gate fails when extraordinary-claim thresholds unmet even if aggregate KPI positive,P0,Governance+ML,7.7A.9;10.9.3;7.9.22
TGTBT-08,Pre-mortem requirement for high-upside recommendations,What are top failure paths before user acts?,Blind optimism and missing downside prep,Generate top 3 failure paths early-warning signals and mitigation checks before acceptance for high-impact claims,6.2 Guardrails,6.2.29,Add row after 6.2.28,Add to section 8 rule: explain tradeoffs and failure paths,Add in section 10 Recourse with proactive failure-prep,Add matrix note linked to row 13 predicted positive observed negative,`premortem_view_rate` `warning_signal_trigger_rate` `prevented_regret_events`,High-impact accept flow blocked until pre-mortem artifact generated,P0,Planner UX+Risk,1.4.19;4.1.7;6.2.24
TGTBT-09,Counterfactual baseline presentation,Compared to what baseline does recommendation win?,No-action alternative hidden inflates perceived certainty,Show side-by-side expected ranges for recommended path vs conservative alternative vs do-nothing,6.1 Planning Explainability,6.1.23,Add row near horizon control tasks,Add to section 8 requirement to preserve variety of paths,Add language guidance to prefer bounded trajectory phrasing,N/A,`baseline_panel_open_rate` `choice_distribution_after_baseline_view`,High-impact recommendation cards include baseline comparison payload and confidence ranges,P1,Product+Modeling,6.1.18;5.1.4;2.1.8
TGTBT-10,Two-channel confidence (model vs adoption),Is prediction likely true and separately likely to be believed/acted on?,Conflating factual confidence with social adoption confidence,Maintain `model_confidence` and `adoption_confidence`; route low adoption confidence to pilot/education path,5.1/6.1/6.2,5.1.17,Add row after 5.1.16 and reference in 6.2 routing,Add section 8.1 note that cognition lane includes adoption realism,Add section 12 note: skepticism is signal not user fault,Add matrix row 34: high model confidence low adoption confidence split,`model_vs_adoption_gap` `route_to_pilot_rate` `adoption_after_translation_delta`,Planner APIs expose both channels and route policy enforces gap-based throttles,P0,Modeling+Planner,5.1.4;6.2.28;1.4.22
